County,Density per square mile of land area - Population,Percentage of diabetics
Boone County,35.4,10.9
Bourbon County,250.2,12.8
Boyd County,29.8,14.7
Boyle County,37.7,11.6
Bracken County,96.6,12.5
Breathitt County,597,15.1
Breckinridge County,26.9,14.6
Bullitt County,84.1,12
Butler County,67.7,13
Caldwell County,35.9,12.4
Calloway County,103.1,10.4
Campbell County,141.1,10.4
Carlisle County,46.3,12.4
Carroll County,52.1,13.9
Carter County,25.9,14.5
Casey County,22.5,11.6
Christian County,210.9,10.7
Clark County,40.2,11.2
Clay County,33.5,13.3
Clinton County,58,10.8
Crittenden County,1042.8,13.2
Cumberland County,41.2,12.9
Daviess County,100.3,10.3
Edmonson County,237.2,14
Elliott County,33.2,11.2
Estill County,84.8,13.5
Fayette County,73.5,9.5
Fleming County,95.6,12.3
Floyd County,67.3,17
Franklin County,51.8,11.2
Fulton County,39.4,12.3
Gallatin County,107.2,11.1
Garrard County,45.6,12.7
Grant County,169.3,11.4
Graves County,62.9,11.6
Grayson County,61.5,12.5
Green County,44.2,12.5
Greenup County,105.9,14.8
Hancock County,53.9,11.6
Hardin County,20.2,12.2
Harlan County,86.6,14.7
Harrison County,39.1,12.5
Hart County,1948.1,13.8
Henderson County,282.3,10.9
Henry County,89.2,11.5
Hickman County,996.7,13.2
Hopkins County,46.5,12.5
Jackson County,82.5,11.9
Jefferson County,54.3,11.7
Jessamine County,135.6,10.5
Johnson County,38.2,14.4
Kenton County,37.8,10.4
Knott County,28.2,14
Knox County,72.6,14.8
Larue County,28.7,13.4
Laurel County,74.1,12.2
Lawrence County,30.4,15.7
Lee County,48.6,12.6
Leslie County,38.9,15.4
Letcher County,263.6,17.6
Lewis County,42.9,12.5
Lincoln County,37.8,12.7
Livingston County,189.6,13.4
Logan County,43.2,12.8
Lyon County,57.8,13.2
McCracken County,104.4,10
McCreary County,56.3,14.2
McLean County,72.8,13.5
Madison County,93.6,10
Magoffin County,31,13.9
Marion County,85.7,11.3
Marshall County,34.9,10.9
Martin County,33.3,11.9
Mason County,134.3,14.4
Meade County,36.5,10.7
Menifee County,67.4,13
Mercer County,104,10.7
Metcalfe County,36.6,13.2
Monroe County,40.6,12.4
Montgomery County,322.2,11.8
Morgan County,30.9,14.9
Muhlenberg County,24.1,12.2
Nelson County,53.7,8.7
Nicholas County,84.5,12.8
Ohio County,82.6,14.4
Oldham County,70.5,10.1
Owen County,95.8,11.7
Owsley County,22.8,14.1
Pendleton County,53.9,13.8
Perry County,83.4,14.5
Pike County,69.2,15.1
Powell County,167.4,11.3
Pulaski County,110.8,13
Robertson County,74,13.8
Rockcastle County,91.4,14.5
Rowan County,92,12.1
Russell County,33.3,11.2
Scott County,32.5,10.2
Shelby County,58.1,11.4
Simpson County,43.8,12.4
Spencer County,210.1,10.1
Taylor County,39.4,12.6
Todd County,45.4,11
Trigg County,41,11.7
Trimble County,81.4,11.3
Union County,33.1,11.3
Warren County,132.1,8.5
Washington County,94.3,14.7
Wayne County,33.8,11.7
Webster County,369.7,12.9
Whitley County,69.2,12.8
Wolfe County,50.5,11.2
Woodford County,30.8,11.6
Acadia Parish,17.7,11.6
Allen Parish,139.3,11.3
Ascension Parish,290.2,10.3
Assumption Parish,181.2,11.9
Avoyelles Parish,19.1,14.6
Beauregard Parish,5.3,13
Bienville Parish,14.7,14
Bossier Parish,22.8,11.4
Caddo Parish,29.9,12.5
Calcasieu Parish,30.4,12.6
Caldwell Parish,966.6,13
Cameron Parish,18.4,11.9
Catahoula Parish,44.7,11.5
Claiborne Parish,51.3,15.1
Concordia Parish,33.2,14.7
De Soto Parish,34.7,13.8
East Baton Rouge Parish,127.6,11.1
East Carroll Parish,54,16.9
East Feliciana Parish,28.6,15.2
Evangeline Parish,1463.1,12.6
Franklin Parish,48.5,14.5
Grant Parish,824.6,13
Iberia Parish,90.2,12.1
Iberville Parish,23.8,13
Jackson Parish,99.1,12.3
Jefferson Parish,197.5,12.2
Jefferson Davis Parish,19.4,12.7
Lafayette Parish,35.2,7.8
Lafourche Parish,31.6,10.5
La Salle Parish,2029.4,11.9
Lincoln Parish,251.8,10.2
Livingston Parish,29.5,12.2
Madison Parish,40.9,11.2
Morehouse Parish,99.9,17.8
Natchitoches Parish,23.4,12.8
Orleans Parish,37.1,11.9
Ouachita Parish,28,11.9
Plaquemines Parish,95.1,10.9
Pointe Coupee Parish,189.1,14.7
Rapides Parish,27.4,13.7
Red River Parish,91.5,12.6
Richland Parish,215.5,12.7
Sabine Parish,90.3,14.8
St. Bernard Parish,70.7,11.5
St. Charles Parish,98.4,10.9
St. Helena Parish,276.4,15.8
St. James Parish,153,14
St. John the Baptist Pa,8.7,13.1
St. Landry Parish,90.8,14.6
St. Martin Parish,25.9,12.9
St. Mary Parish,49.4,14.2
St. Tammany Parish,39.4,10.3
Tangipahoa Parish,70.4,12.3
Tensas Parish,69.5,14.9
Terrebonne Parish,123.6,13
Union Parish,32.3,14.9
Vermilion Parish,38.8,11.8
Vernon Parish,16.1,11.8
Washington Parish,230.2,16.3
Webster Parish,10.8,13.6
West Baton Rouge Parish,337.2,14.6
West Carroll Parish,18.1,16.4
West Feliciana Parish,34.3,13.1
Winn Parish,140.8,13
Androscoggin County,108.8,10.5
Aroostook County,75.6,14.4
Cumberland County,27.8,7.6
Franklin County,45.3,9
Hancock County,4.4,9.1
Kennebec County,139.1,10
Knox County,13.3,9.3
Lincoln County,53.1,9.2
Oxford County,12.8,10.2
Penobscot County,199,10.7
Piscataquis County,177,12.3
Sagadahoc County,1295.9,9.2
Somerset County,1345.5,11.3
Waldo County,416.3,10.1
Washington County,103.5,11.3
York County,373.4,9.5
Allegany County,292,11.3
Anne Arundel County,320.2,9.7
Baltimore County,60.3,10.1
Calvert County,353.5,9.6
Caroline County,46.5,10.6
Carroll County,560.1,8.5
Cecil County,1144.9,10.2
Charles County,72.9,10.4
Dorchester County,1978.2,14.8
Frederick County,1788.8,8.7
Garrett County,128.5,11.4
Harford County,294.4,9.5
Howard County,82.8,8.2
Kent County,140.7,10.6
Montgomery County,322.1,7.1
Prince George's County,263.7,11.6
Queen Anne's County,109.9,9.5
St. Mary's County,7671.5,9.2
Somerset County,548.3,11.4
Talbot County,141.6,10.3
Washington County,991.3,11.8
Wicomico County,160.2,11
Worcester County,1508.8,13.3
Baltimore city,102.1,12.7
Barnstable County,751,8.7
Berkshire County,299.8,8.4
Bristol County,1837.9,10.5
Dukes County,226.2,7
Essex County,1693.6,9.5
Franklin County,750.9,8.3
Hampden County,12415.6,10.4
Hampshire County,528.6,6.2
Middlesex County,16.2,8.6
Nantucket County,10.5,7.1
Norfolk County,135,7.8
Plymouth County,51.8,10
Suffolk County,49.6,7.8
Worcester County,43.8,8.8
Alcona County,9.9,15
Alger County,107,10.8
Allegan County,243.7,9.2
Alpena County,54.8,11.8
Antrim County,276.2,11
Arenac County,89.4,11.6
Baraga County,192.8,11.8
Barry County,106.7,10.4
Bay County,62.3,10.9
Benzie County,36.6,11.1
Berrien County,24.7,13.2
Branch County,54.8,11.2
Calhoun County,133.1,12.5
Cass County,25.3,11.8
Charlevoix County,31.7,11
Cheboygan County,34.4,11.4
Chippewa County,187.4,11.8
Clare County,69.9,11.4
Clinton County,668.5,9.7
Crawford County,51.2,11.5
Delta County,14.9,11.7
Dickinson County,187.3,11.8
Eaton County,74.7,10.7
Emmet County,78.1,9.7
Genesee County,36.3,13.1
Gladwin County,39.6,13.3
Gogebic County,505.1,11
Grand Traverse County,111.9,9.4
Gratiot County,47.1,10.5
Hillsdale County,10.1,11
Houghton County,122.8,9.3
Huron County,228.4,10.9
Ingham County,445.7,8.1
Ionia County,30.6,10.1
Iosco County,711.5,13.7
Iron County,4,12.6
Isabella County,20.3,8
Jackson County,137.4,10.9
Kalamazoo County,62.5,8.9
Kalkaska County,133.3,12.1
Kent County,320.2,9.8
Keweenaw County,7.4,12.9
Lake County,10.9,13.4
Lapeer County,1754.9,9.4
Leelanau County,45.6,10.9
Lenawee County,37.1,11.4
Livingston County,58,8.5
Luce County,77.1,12.5
Mackinac County,23,13.3
Macomb County,162,11
Manistee County,26.3,11.8
Marquette County,276.7,10.2
Mason County,89.8,12.9
Mecosta County,17.9,10
Menominee County,344.9,13
Midland County,59.6,9.9
Missaukee County,1385.7,11.3
Monroe County,51.9,10.7
Montcalm County,38.5,8.9
Montmorency County,5.2,14.1
Muskegon County,41.5,13.3
Newaygo County,15.3,12.4
Oakland County,46.9,8.9
Oceana County,468.2,12.3
Ogemaw County,20.3,13
Ontonagon County,47.1,13.5
Osceola County,250.2,12.1
Oscoda County,226.1,14.4
Otsego County,122.4,11.9
Ottawa County,44.8,8.5
Presque Isle County,7.2,13.5
Roscommon County,133.1,15.7
Saginaw County,69.4,11.3
St. Clair County,125.5,10.1
St. Joseph County,488.4,9.5
Sanilac County,2974.4,10.1
Schoolcraft County,57.9,11.5
Shiawassee County,8.9,9.7
Tuscola County,782.1,11.4
Van Buren County,24.7,12.4
Washtenaw County,17.7,7.5
Wayne County,94.2,13
Wexford County,10.6,11.5
Aitkin County,85.6,10
Anoka County,42.4,7.8
Becker County,41.1,8.2
Beltrami County,256.9,8.6
Benton County,14.1,9.5
Big Stone County,21.4,9.1
Blue Earth County,129.9,5.6
Brown County,56.4,8.4
Carlton County,8.7,8.7
Carver County,3.6,7.4
Cass County,18.3,11.2
Chippewa County,62.6,10
Chisago County,709,8.5
Clay County,45.7,8.8
Clearwater County,56.5,9.6
Cook County,20.4,9.4
Cottonwood County,24.2,9.1
Crow Wing County,44.2,9
Dakota County,61,5.9
Dodge County,11,7.3
Douglas County,2081.7,7.9
Faribault County,34.5,8.9
Fillmore County,22.1,7.9
Freeborn County,86.8,9.6
Goodhue County,16.9,8.1
Grant County,14.6,8.6
Hennepin County,31.1,6.7
Houston County,53,8.1
Hubbard County,4.1,8.6
Isanti County,4.3,8.9
Itasca County,9.5,9.7
Jackson County,5.2,9.5
Kanabec County,3.1,8.2
Kandiyohi County,61.7,8.4
Kittson County,11,10.3
Koochiching County,36.2,10.3
Lac qui Parle County,74.6,9.7
Lake County,9.7,10
Lake of the Woods Count,5.3,8.8
Le Sueur County,29.3,7.9
Lincoln County,38.3,9.1
Lyon County,45.6,8.3
McLeod County,29.5,8.1
Mahnomen County,55.1,11.3
Marshall County,12.4,9.2
Martin County,73,8.9
Meeker County,29.9,10.1
Mille Lacs County,7.9,9.1
Morrison County,220.8,8.9
Mower County,29.1,9.4
Murray County,22.6,9.5
Nicollet County,21.1,7.7
Nobles County,20.6,9.1
Norman County,16,9.5
Olmsted County,16.4,7.2
Otter Tail County,3341.6,8.1
Pennington County,9.5,9.2
Pine County,18.3,7.7
Pipestone County,16,8.7
Polk County,129.4,7.9
Pope County,20.1,8.7
Ramsey County,9.3,7.5
Red Lake County,32,8.2
Redwood County,364.5,8.9
Renville County,204.4,9.4
Rice County,25.9,7.8
Rock County,112.2,9.2
Roseau County,85.1,8.9
St. Louis County,17.3,8.9
Scott County,13.2,6.6
Sherburne County,26.3,7.1
Sibley County,6.2,8.5
Stearns County,41.4,7.4
Steele County,25.8,7.4
Stevens County,45.2,7.3
Swift County,619.7,10.1
Todd County,25.8,9.4
Traverse County,8.8,10.3
Wabasha County,82.2,8.1
Wadena County,188.5,10.1
Waseca County,13.8,8.9
Washington County,69.8,7.2
Watonwan County,92.6,9.3
Wilkin County,18,9.1
Winona County,26.6,7.1
Wright County,21.5,6.3
Yellow Medicine County,39,9.7
Adams County,25.5,15.2
Alcorn County,16.9,14.6
Amite County,34.7,17
Attala County,20.4,15.2
Benton County,19.7,16.2
Bolivar County,24.2,14.2
Calhoun County,50.3,15.1
Carroll County,47.3,16.6
Chickasaw County,37.9,14.2
Choctaw County,47.3,16
Claiborne County,338.7,16.1
Clarke County,160.7,15.1
Clay County,14.4,14.4
Coahoma County,47.2,16.2
Copiah County,20.2,15.3
Covington County,51.9,14.8
DeSoto County,92.7,11.7
Forrest County,326,11
Franklin County,282,14.3
George County,25.4,11.1
Greene County,22.4,13.9
Grenada County,3.4,15.1
Hancock County,43.9,11.8
Harrison County,193.2,12.9
Hinds County,25.2,13.3
Holmes County,14.9,17.8
Humphreys County,30.6,16.9
Issaquena County,97.5,15.9
Itawamba County,13.6,12.1
Jackson County,75,12.5
Jasper County,112,16.2
Jefferson County,114.1,18.4
Jefferson Davis County,30,14.3
Jones County,40.8,13.4
Kemper County,184.3,15.4
Lafayette County,54.5,9
Lamar County,59.5,9.9
Lauderdale County,118.3,15.9
Lawrence County,133.2,16.9
Leake County,49.9,16.4
Lee County,52.6,12.3
Leflore County,48.3,14.7
Lincoln County,26.8,13.8
Lowndes County,52.1,13.3
Madison County,37.6,11.2
Marion County,16.6,13.2
Marshall County,104,15.6
Monroe County,50.7,15.1
Montgomery County,68.9,16.2
Neshoba County,18.9,15.2
Newton County,98.8,14.3
Noxubee County,60.2,19.5
Oktibbeha County,60.9,10.4
Panola County,20.3,14
Pearl River County,182.6,13.7
Perry County,46.4,14.9
Pike County,11.4,15.9
Pontotoc County,46.7,13.4
Prentiss County,25.9,14.6
Quitman County,39.9,17.5
Rankin County,42.2,12.1
Scott County,23.8,14.3
Sharkey County,71.4,16.4
Simpson County,48.6,14.8
Smith County,46.2,12.4
Stone County,23.7,12.8
Sunflower County,65.3,13.6
Tallahatchie County,38.2,14.4
Tate County,82.9,16
Tippah County,70.6,11.9
Tishomingo County,25.6,14
Tunica County,24.4,16.5
Union County,14.6,12.6
Walthall County,31.6,16.1
Warren County,27.1,13.3
Washington County,30.4,14.6
Wayne County,45.1,14.7
Webster County,40,14.6
Wilkinson County,10.4,18.6
Winston County,36.9,16.3
Yalobusha County,45.7,16.4
Yazoo County,21,14
Adair County,20.4,9.7
Andrew County,27.1,9.8
Atchison County,20,11.7
Audrain County,237.3,11.5
Barry County,218.6,11.1
Barton County,61.6,12.7
Bates County,22.1,11.3
Benton County,53.1,14.2
Bollinger County,67.1,11.8
Boone County,130.8,7.4
Buchanan County,13.4,11.8
Butler County,12.3,11.4
Caldwell County,142.8,12.2
Callaway County,29.5,10.2
Camden County,10.4,11.5
Cape Girardeau County,137.6,11.6
Carroll County,14.1,11.7
Carter County,558.6,12.3
Cass County,49.5,10.4
Cedar County,193,11.6
Chariton County,31.2,11.5
Christian County,33.3,9.7
Clark County,16.1,11.8
Clay County,31,11.8
Clinton County,15,11.6
Cole County,30.6,10
Cooper County,20.8,11.8
Crawford County,16.8,10.6
Dade County,59.1,13.5
Dallas County,110,12.8
Daviess County,29.4,12.2
DeKalb County,13.7,10.6
Dent County,407.5,11.4
Douglas County,23.6,11.5
Dunklin County,12.4,12
Franklin County,32,10.3
Gasconade County,24.1,11.8
Gentry County,10.6,11.3
Greene County,21.9,8.8
Grundy County,43.6,10
Harrison County,19.3,12.4
Henry County,1115.3,11.3
Hickory County,183.9,13.7
Holt County,333.1,11.8
Howard County,63.4,11.5
Howell County,8.2,11.2
Iron County,46.5,11.4
Jackson County,53.1,10.7
Jasper County,63.2,11.3
Jefferson County,20.2,9.9
Johnson County,83.9,10.4
Knox County,20.7,11.1
Laclede County,28.5,11.6
Lafayette County,42.8,10.7
Lawrence County,19.4,12.6
Lewis County,24.7,12.3
Lincoln County,17.4,13.1
Linn County,65.9,11.2
Livingston County,8.3,11.3
McDonald County,41.8,11.3
Macon County,34.9,11.3
Madison County,37.6,12.3
Maries County,13.6,10.9
Marion County,22.8,9
Mercer County,34.4,12.4
Miller County,28.1,11.1
Mississippi County,93,12.5
Moniteau County,26.6,10.4
Monroe County,13.8,13.8
Montgomery County,23,12
Morgan County,13.1,12.2
New Madrid County,37.1,13.5
Newton County,40,11.9
Nodaway County,61.9,8.9
Oregon County,67.2,12.7
Osage County,27.6,11.2
Ozark County,212.6,13.8
Pemiscot County,49,11.7
Perry County,95.5,11.1
Pettis County,9.6,11.7
Phelps County,21.6,11.4
Pike County,52.7,11.6
Platte County,41.3,9.9
Polk County,8.3,12.2
Pulaski County,22.4,10.1
Putnam County,643.2,11.1
Ralls County,14.6,13.5
Randolph County,36.4,11.9
Ray County,144.6,11.8
Reynolds County,1967.2,12.7
Ripley County,30.9,11.9
St. Charles County,14.4,8.2
St. Clair County,11.1,12.8
Ste. Genevieve County,93.3,11.6
St. Francois County,8.4,11.2
St. Louis County,12.7,9.8
Saline County,36.4,12.3
Schuyler County,69.4,12.3
Scotland County,10.4,11.4
Scott County,81.7,11.2
Shannon County,22.1,13.3
Shelby County,25.6,12.3
Stoddard County,75.9,10.8
Stone County,33.2,11.7
Sullivan County,17.8,11.1
Taney County,61.1,11.7
Texas County,8.1,11
Vernon County,27.6,12.6
Warren County,5157.5,11.2
Washington County,1.7,13
Wayne County,2.6,12.8
Webster County,1.5,10.8
Worth County,4.7,12.8
Wright County,4.9,13.2
St. Louis city,0.3,12.3
Beaverhead County,30.1,8.2
Big Horn County,1.5,13
Blaine County,3.1,11.9
Broadwater County,1.2,7.6
Carbon County,3.8,7.9
Carter County,12.6,8.5
Cascade County,1.8,8.3
Chouteau County,2.7,9.5
Custer County,17.9,10.3
Daniels County,34.4,8.7
Dawson County,0.3,8.1
Deer Lodge County,4.5,8
Fallon County,0.8,7.6
Fergus County,1.8,8.8
Flathead County,5.6,6.9
Gallatin County,6.9,4.4
Garfield County,1.1,7.8
Glacier County,19.3,12.8
Golden Valley County,18.3,9.5
Granite County,1.6,8.6
Hill County,5.4,9.4
Jefferson County,0.7,7.5
Judith Basin County,2.1,9.5
Lake County,0.8,9.7
Lewis and Clark County,3.5,6.4
Liberty County,42.1,8
Lincoln County,2.4,10.8
McCone County,5.6,9.1
Madison County,0.3,7.5
Meagher County,0.8,9.3
Mineral County,3.8,9.5
Missoula County,0.5,4.6
Musselshell County,3,8.1
Park County,0.7,6.6
Petroleum County,16.8,9.3
Phillips County,4.7,8.7
Pondera County,4.4,10.3
Powder River County,1.8,8.5
Powell County,4.1,8
Prairie County,2,9.9
Ravalli County,47.6,7.2
Richland County,5.1,7.5
Roosevelt County,2,14.3
Rosebud County,2.7,10.9
Sanders County,2.8,10.9
Sheridan County,0.7,10.5
Silver Bow County,1.5,8.3
Stillwater County,1.5,8.2
Sweet Grass County,1.1,8.1
Teton County,56.2,9.4
Toole County,55.7,8.9
Treasure County,7.8,9.1
Valley County,0.6,9.8
Wheatland County,0.9,7.8
Wibaux County,0.7,9.7
Yellowstone County,8,8.5
Adams County,10.5,8.4
Antelope County,3.9,10.1
Arthur County,2.6,9.1
Banner County,47.6,11.4
Blaine County,14,9.4
Boone County,14.4,9.6
Box Butte County,45.3,10.6
Boyd County,12,10.2
Brown County,4.4,10.7
Buffalo County,1,6.7
Burt County,8.4,10.9
Butler County,11.4,8.3
Cass County,25.5,9.2
Cedar County,16,9.4
Chase County,4.2,8.3
Cherry County,79.5,8.2
Cheyenne County,6.6,8.4
Clay County,24,9.2
Colfax County,4.4,7.9
Cuming County,12.6,7.8
Custer County,69.4,9.7
Dakota County,1574.4,9.2
Dawes County,2.2,8.5
Dawson County,10.2,9.1
Deuel County,5.6,9.9
Dixon County,2.8,8.2
Dodge County,6.9,8.9
Douglas County,26.2,8.7
Dundy County,1.2,10.6
Fillmore County,3.6,8.8
Franklin County,4.5,10.9
Frontier County,0.8,9
Furnas County,4.5,10.8
Gage County,107.3,11.3
Garden County,16.8,11
Garfield County,6.2,9.7
Gosper County,1.4,9.4
Grant County,4.1,9.2
Greeley County,4.3,9
Hall County,1,8.5
Hamilton County,11,7.3
Harlan County,13.2,9.5
Hayes County,13.9,10
Hitchcock County,12.6,9.5
Holt County,7.9,8.4
Hooker County,1.1,10.4
Howard County,4,9.2
Jefferson County,7.9,10.6
Johnson County,340.8,9.7
Kearney County,14.2,7.1
Keith County,1.3,8.9
Keya Paha County,1.1,10.9
Kimball County,0.6,9.8
Knox County,60.9,9.9
Lancaster County,16.2,7
Lincoln County,3.5,9.5
Logan County,8.5,8.6
Loup County,17.8,10.5
McPherson County,7.8,9.5
Madison County,25.6,7.6
Merrick County,6.4,10
Morrill County,3.4,10.2
Nance County,17,10.5
Nemaha County,12.7,9.3
Nuckolls County,47.8,9.4
Otoe County,12.3,10.4
Pawnee County,15.4,11.7
Perkins County,15.2,8.8
Phelps County,1.5,9.9
Pierce County,24.7,10.4
Platte County,664.6,7.6
Polk County,27.7,10.2
Red Willow County,50,9.2
Richardson County,29.3,11.2
Rock County,2.2,10.8
Saline County,5.6,8.8
Sarpy County,0.6,8.2
Saunders County,14.3,8.2
Scotts Bluff County,9.1,10.5
Seward County,0.9,7.7
Sheridan County,17.6,11.1
Sherman County,7.5,9.6
Sioux County,51.9,8.2
Stanton County,21.7,9.3
Thayer County,6.6,12
Thomas County,1.4,9.4
Thurston County,23.9,16
Valley County,5,10.5
Washington County,247.3,8.4
Wayne County,66.2,7.1
Webster County,2.8,10.2
Wheeler County,0.2,9.6
York County,0.5,8.6
Churchill County,1.7,9.9
Clark County,1.1,8.7
Douglas County,0.5,8.4
Elko County,26,8.1
Esmeralda County,1.3,10.2
Eureka County,2.4,8.5
Humboldt County,1.1,7.1
Lander County,15.3,7.9
Lincoln County,66.9,8.9
Lyon County,1.1,9.6
Mineral County,382.1,10.7
Nye County,150.1,10.4
Pershing County,51.4,8.8
Storey County,109.1,9.3
Washoe County,18.4,6.8
White Pine County,52.2,8.7
Carson City,457.4,8.8
Belknap County,156.8,9.8
Carroll County,425,9.9
Cheshire County,333.7,8.8
Coos County,81.4,11.5
Grafton County,494.1,8.7
Hillsborough County,3884.5,9
Merrimack County,561.9,8.4
Rockingham County,2321.5,8.6
Strafford County,386.9,10.2
Sullivan County,324.4,9.1
Atlantic County,6211.5,10.1
Bergen County,895.3,7.2
Burlington County,13731.4,9.7
Camden County,300,9.7
Cape May County,1632.2,11.2
Cumberland County,2621.6,11.8
Essex County,1344.7,9.8
Gloucester County,1069.8,10.7
Hudson County,917,7.6
Hunterdon County,2715.3,6.6
Mercer County,199.1,9.6
Middlesex County,1071.7,8.8
Monmouth County,287.6,8.7
Morris County,5216.1,7.9
Ocean County,304.5,11.2
Passaic County,570.8,8.8
Salem County,0.5,11.6
Somerset County,10.8,7.8
Sussex County,6,8.5
Union County,3.7,8.7
Warren County,34.4,9.1
Bernalillo County,0.9,6.3
Catron County,55,10
Chaves County,12.9,10.8
Cibola County,7.4,13
Colfax County,1.5,9.4
Curry County,0.3,8.9
De Baca County,1.4,9.5
Doña Ana County,14.7,7.6
Eddy County,4.2,10.5
Grant County,164.4,8.4
Guadalupe County,8.5,8
Harding County,13.1,10.6
Hidalgo County,2.5,8.8
Lea County,9.6,8.3
Lincoln County,3.1,8.8
Los Alamos County,6.9,7.1
Luna County,8.1,9.6
McKinley County,35.5,13.4
Mora County,23.6,10.1
Otero County,6.2,9.6
Quay County,75.5,9.4
Rio Arriba County,2.9,9
Roosevelt County,2.7,8.3
Sandoval County,15,7.9
San Juan County,4.9,9.5
San Miguel County,1.2,9.1
Santa Fe County,71.8,5.1
Sierra County,581.9,10.7
Socorro County,47.6,8.5
Taos County,32903.3,7.5
Torrance County,284.2,9.5
Union County,61.4,7.6
Valencia County,115.7,8.8
Albany County,127.2,9.7
Allegany County,218.1,10.9
Bronx County,56.5,10.4
Broome County,79.1,10.5
Cattaraugus County,99.4,11.2
Cayuga County,98.9,10.5
Chautauqua County,33.3,9.8
Chemung County,373.9,10.7
Chenango County,881.4,10.9
Clinton County,21.9,9.3
Columbia County,31.7,10.2
Cortland County,112.1,8.7
Delaware County,121.9,10.5
Dutchess County,76.1,9.9
Erie County,2.8,9.8
Essex County,45.7,10.5
Franklin County,91.6,10.7
Fulton County,35369.2,11.4
Genesee County,21.3,10.4
Greene County,103.5,9.6
Hamilton County,112.2,12.1
Herkimer County,1132.6,10.3
Jefferson County,124.6,9.2
Kings County,4704.8,10.2
Lewis County,69468.4,11.6
Livingston County,414.4,10.5
Madison County,193.7,9.1
Monroe County,600,9.5
Montgomery County,167.6,9.2
Nassau County,459.3,8.3
New York County,109.6,6.8
Niagara County,128.3,11.5
Oneida County,62.2,9.2
Onondaga County,432.9,10.4
Ontario County,20553.6,9
Orange County,244.4,10.3
Orleans County,8030.3,11
Oswego County,1795.9,9.8
Otsego County,41.8,9.5
Putnam County,271.1,8.7
Queens County,756.6,9.9
Rensselaer County,52.7,9.4
Richmond County,55.9,10.2
Rockland County,108.9,10.3
St. Lawrence County,71.2,11.3
Saratoga County,1637.4,8.6
Schenectady County,80.1,12.3
Schoharie County,98.6,9.3
Schuyler County,214,10
Seneca County,162.3,9.3
Steuben County,75.8,10.4
Suffolk County,76.1,7.5
Sullivan County,155.3,10.6
Tioga County,2204.7,10.6
Tompkins County,71.1,8.1
Ulster County,75,10.3
Warren County,356.5,10
Washington County,143.1,10.2
Wayne County,47.5,9.6
Westchester County,50.7,8.2
Wyoming County,64,9.3
Yates County,72,9.5
Alamance County,57.7,12.2
Alexander County,30.4,10.6
Alleghany County,40.2,11.3
Anson County,126.8,13.6
Ashe County,362.9,10
Avery County,179.3,10.1
Beaufort County,492.1,13.2
Bertie County,176.1,14.4
Bladen County,41.5,14.9
Brunswick County,131.3,11.3
Buncombe County,55.8,10
Burke County,387.1,12.8
Cabarrus County,93.1,9.6
Caldwell County,60.3,12.8
Camden County,85.8,11.2
Carteret County,49.3,11.4
Caswell County,211.3,13.3
Catawba County,62,11.4
Chatham County,146,10.5
Cherokee County,489.7,13.6
Chowan County,89.9,14.2
Clay County,88.5,11.2
Cleveland County,294.7,12.5
Columbus County,156.1,13.7
Craven County,71.7,10.8
Cumberland County,935.7,11.1
Currituck County,111.9,10.8
Dare County,859.2,9.4
Davidson County,123.3,11.2
Davie County,578.8,11.7
Duplin County,35.8,13.3
Durham County,30.3,9.2
Edgecombe County,112.7,15.4
Forsyth County,80.3,10.1
Franklin County,756.4,11.2
Gaston County,75.5,13.8
Gates County,192.7,12.8
Graham County,106.6,12.1
Granville County,286.1,12.2
Greene County,69.9,12.2
Guilford County,120.2,9.8
Halifax County,9.5,15.2
Harnett County,277.8,10.1
Haywood County,82.1,11
Henderson County,213.4,10.6
Hertford County,21.6,14.1
Hoke County,227,12
Hyde County,148.5,12.1
Iredell County,262.7,9.2
Jackson County,102.1,13.4
Johnston County,65.8,12.9
Jones County,46.2,16
Lee County,53.1,11.5
Lenoir County,1755.5,15.1
Lincoln County,70.4,10.7
McDowell County,56.5,13.9
Macon County,126.5,10.3
Madison County,177.3,11.3
Martin County,1058.1,15.5
Mecklenburg County,41.2,8.6
Mitchell County,233.1,12.6
Montgomery County,336.2,13.5
Moore County,39.1,12.3
Nash County,179.2,12.3
New Hanover County,60,9.3
Northampton County,54.4,15.1
Onslow County,100.6,8.4
Orange County,257.9,7.3
Pamlico County,86.3,14.4
Pasquotank County,181.1,14.1
Pender County,98.4,12.4
Perquimans County,141.3,14.6
Person County,165.6,12.5
Pitt County,270.7,8.9
Polk County,120.2,11
Randolph County,67.1,11.2
Richmond County,113.4,12.6
Robeson County,153.3,15.6
Rockingham County,105.6,13.6
Rowan County,138.4,12.8
Rutherford County,26.5,12.7
Sampson County,87.4,12.2
Scotland County,11.3,14.9
Stanly County,318.7,11.7
Stokes County,179.2,11.3
Surry County,1078.8,13.7
Swain County,48.9,16.3
Transylvania County,38,10.3
Tyrrell County,163.4,13.3
Union County,221.7,8.5
Vance County,91.9,14.1
Wake County,220.6,7.3
Warren County,114.7,15.3
Washington County,57,14.6
Watauga County,2.4,9.7
Wayne County,7.4,12.1
Wilkes County,4.8,12.3
Wilson County,0.7,13
Yadkin County,3.9,9.7
Yancey County,2.7,11.6
Adams County,1.8,11.6
Barnes County,49.8,7.8
Benson County,84.9,10.5
Billings County,2.7,9.1
Bottineau County,4.7,9.3
Bowman County,1.6,10.3
