County,Density per square mile of land area - Population,Percentage of diabetics
Brown County,49.1,8.8
Bureau County,32.6,10.7
Calhoun County,29.5,10.3
Carroll County,79.7,12.3
Cass County,106,10
Champaign County,5495.1,7.7
Christian County,44.7,10.9
Clark County,31.9,10.4
Clay County,166.6,11.3
Clinton County,41.7,8.6
Coles County,48,7.9
Cook County,2799.8,9.1
Crawford County,29.8,10.7
Cumberland County,30.2,11
DeKalb County,71.5,7.6
De Witt County,30.9,10.4
Douglas County,29,9.9
DuPage County,96.8,7.4
Edgar County,42.8,11.1
Edwards County,17.3,10.4
Effingham County,25.6,8.8
Fayette County,119.8,11
Ford County,19.5,10.1
Franklin County,24.1,11.2
Fulton County,24.3,10.4
Gallatin County,19.3,11
Greene County,61.3,10.6
Grundy County,26.6,9.6
Hamilton County,103.1,10.7
Hancock County,19.6,11.1
Hardin County,68,12.2
Henderson County,62.2,11.4
Henry County,37.7,10
Iroquois County,36.6,11.2
Jackson County,990.8,8.8
Jasper County,167.7,10.8
Jefferson County,358.2,10.5
Jersey County,73.9,10.1
Jo Daviess County,1585.6,11.3
Johnson County,100.4,9.9
Kane County,45.2,8.3
Kankakee County,49.7,8.7
Kendall County,37.3,7.1
Knox County,49,9.8
Lake County,55.3,7.8
LaSalle County,511.9,10
Lawrence County,143.3,11.3
Lee County,190.8,10.4
Livingston County,55.4,10.4
Logan County,376.3,9.8
McDonough County,68.9,9.2
McHenry County,32.7,8.4
McLean County,27.2,8.5
Macon County,65,11.1
Macoupin County,40.4,11.5
Madison County,29.3,11.8
Marion County,85.6,9.5
Marshall County,42.8,11.4
Mason County,62.5,10.8
Massac County,44.2,12.1
Menard County,70.5,10.2
Mercer County,301.2,10.5
Monroe County,50.6,10.8
Montgomery County,38.1,9.6
Morgan County,19.8,11.4
Moultrie County,12.1,10.1
Ogle County,30.9,10.8
Peoria County,37.5,8.3
Perry County,58.2,10
Piatt County,45.1,11.2
Pike County,345,10.9
Pope County,410.6,11.3
Pulaski County,65.6,13.1
Putnam County,227.4,10.4
Randolph County,17.3,9.7
Richland County,21.3,9.9
Rock Island County,29.5,11.5
St. Clair County,20.8,11.6
Saline County,84.5,11
Sangamon County,208.6,10.9
Schuyler County,43.1,10.6
Scott County,90.9,10.2
Shelby County,53.5,9.8
Stark County,32.6,10.9
Stephenson County,26.2,12
Tazewell County,23.5,9.4
Union County,29.6,10.9
Vermilion County,85.5,12.1
Wabash County,809.6,11.2
Warren County,157.9,10.1
Washington County,575.2,10.8
Wayne County,73.3,10.9
White County,101.4,10.2
Whiteside County,540.6,10.3
Will County,188.7,9.4
Williamson County,21.8,10.2
Winnebago County,77.3,10.8
Woodford County,133.9,10.2
Adams County,48.9,10
Allen County,54.1,10.3
Bartholomew County,94.5,10.6
Benton County,295.6,12.6
Blackford County,75.2,12.4
Boone County,82,9.2
Brown County,35.1,11.9
Carroll County,73.7,10.9
Cass County,164.1,9.5
Clark County,69.1,12.8
Clay County,116.4,11.3
Clinton County,300.1,12.9
Crawford County,98,13.5
Daviess County,426.5,11.9
Dearborn County,112.9,11.2
Decatur County,504.1,12.3
DeKalb County,43.6,10.1
Delaware County,60.1,11.8
Dubois County,56.6,10.1
Elkhart County,68.7,9.3
Fayette County,169.2,13.1
Floyd County,61.1,9.8
Fountain County,696.4,13.1
Franklin County,228.8,12.4
Fulton County,81.2,11.5
Gibson County,357.4,11.4
Grant County,126.2,13.8
Greene County,282.4,14.5
Hamilton County,97,7.8
Hancock County,83.2,10.3
Harrison County,59.8,10.5
Hendricks County,55.4,9.2
Henry County,89.9,10.6
Howard County,75.7,12.5
