FIPS Codes,County,percent (men)_2010,percent (women)_2010,percent (men)_2013,percent (women)_2013,Geographic area,Density_Population
30019,Deer Lodge County,8.6,7.6,10.3,9.5,Deer Lodge County,12.6
30021,Fallon County,8.3,7.5,8.3,6.8,Fallon County,1.8
30023,Fergus County,8.9,7.5,10.4,8.1,Fergus County,2.7
30025,Flathead County,7.6,6.5,8.1,6.2,Flathead County,17.9
30027,Gallatin County,4.5,3.7,4.8,3.8,Gallatin County,34.4
30029,Garfield County,8.6,7.1,9.3,7.3,Garfield County,0.3
30031,Glacier County,12.3,13.3,14.2,12.9,Glacier County,4.5
30033,Golden Valley County,10.4,8.2,11,8.3,Golden Valley County,0.8
30035,Granite County,9.1,7,10.3,7.9,Granite County,1.8
30037,Hill County,8.3,8.1,11.5,10.7,Hill County,5.6
30039,Jefferson County,8.1,6.8,9.6,7.6,Jefferson County,6.9
30041,Judith Basin County,9.3,7.7,9.7,7.5,Judith Basin County,1.1
30043,Lake County,9.9,8.4,11.4,10.3,Lake County,19.3
30045,Lewis and Clark County,7.2,6.3,8.6,6.8,Lewis and Clark County,18.3
30047,Liberty County,8.6,7.1,9.9,8,Liberty County,1.6
30049,Lincoln County,10.3,8.6,12.7,10.6,Lincoln County,5.4
30051,McCone County,8.7,7,10.6,8.2,McCone County,0.7
30053,Madison County,8.5,6.8,10.6,8.1,Madison County,2.1
30055,Meagher County,9.7,7.9,10.1,7.7,Meagher County,0.8
30057,Mineral County,10,8.4,12,9.5,Mineral County,3.5
30059,Missoula County,5.1,4.5,5.6,4.8,Missoula County,42.1
30061,Musselshell County,9.3,7.9,10.6,8.6,Musselshell County,2.4
30063,Park County,6.9,5.7,8.3,6.8,Park County,5.6
30065,Petroleum County,9.8,8.1,10.7,8.2,Petroleum County,0.3
30067,Phillips County,9.2,7.9,10.6,9,Phillips County,0.8
30069,Pondera County,9.7,8.3,11.4,9.4,Pondera County,3.8
30071,Powder River County,9.5,7.7,8.3,6.6,Powder River County,0.5
30073,Powell County,7.9,8,10.2,9.8,Powell County,3
30075,Prairie County,10.5,8.6,11.3,8.6,Prairie County,0.7
30077,Ravalli County,7.6,5.8,9.8,8.1,Ravalli County,16.8
30079,Richland County,7.4,6.4,8.2,7.1,Richland County,4.7
30081,Roosevelt County,13.3,13.3,12.8,12.8,Roosevelt County,4.4
30083,Rosebud County,10.7,9.4,12.4,10.9,Rosebud County,1.8
30085,Sanders County,11.5,9.3,12.6,9.5,Sanders County,4.1
30087,Sheridan County,9.6,8.5,11,9.5,Sheridan County,2
30089,Silver Bow County,9,8.7,9,7.7,Silver Bow County,47.6
30091,Stillwater County,9,7.6,8.9,6.7,Stillwater County,5.1
30093,Sweet Grass County,8.8,7.2,10.7,9.2,Sweet Grass County,2
30095,Teton County,9.4,7.5,9.8,7.8,Teton County,2.7
30097,Toole County,8.3,8.3,8.7,8.5,Toole County,2.8
30099,Treasure County,9.4,7.9,10.8,8.9,Treasure County,0.7
30101,Valley County,11,9.6,10.7,9,Valley County,1.5
30103,Wheatland County,8.9,7.5,10.9,8.7,Wheatland County,1.5
30105,Wibaux County,10.2,8.8,10.1,8.3,Wibaux County,1.1
30107,Yellowstone County,9,7.9,9.1,7.7,Yellowstone County,56.2
30109,Adams County,8.7,7.3,11.4,10.2,Adams County,55.7
30111,Antelope County,11.9,10.7,11.4,9.8,Antelope County,7.8
31001,Arthur County,10.6,8.8,8.9,7.6,Arthur County,0.6
31003,Banner County,12,9.9,14.5,11.6,Banner County,0.9
31005,Blaine County,10.3,7.9,10.5,7.8,Blaine County,0.7
31007,Boone County,9.9,8.7,10.2,8.7,Boone County,8
31009,Box Butte County,10.7,9.7,12.5,11.2,Box Butte County,10.5
31011,Boyd County,9.7,8.2,14.8,13.1,Boyd County,3.9
31013,Brown County,11.6,11.2,11.4,9.3,Brown County,2.6
31015,Buffalo County,7.7,6.5,7.6,5.9,Buffalo County,47.6
31017,Burt County,11.9,10.3,11.3,9.3,Burt County,14
31019,Butler County,8.8,7,9.7,8.2,Butler County,14.4
31021,Cass County,9.7,8.7,9.7,8.1,Cass County,45.3
31023,Cedar County,10.2,8.4,9.7,7.9,Cedar County,12
31025,Chase County,9.6,8.8,11,9.4,Chase County,4.4
31027,Cherry County,9,7.2,9.3,7.4,Cherry County,1
31029,Cheyenne County,9.2,7.9,8.3,6.9,Cheyenne County,8.4
31031,Clay County,11.5,9.8,10.3,8.8,Clay County,11.4
31033,Colfax County,8.2,7.6,9.1,7.8,Colfax County,25.5
31035,Cuming County,8.4,7.6,9.6,8.1,Cuming County,16
31037,Custer County,10.7,8.7,10.5,8.8,Custer County,4.2
31039,Dakota County,10.7,8.5,10,8.4,Dakota County,79.5
31041,Dawes County,8.9,8.2,9.9,9.1,Dawes County,6.6
31043,Dawson County,9.9,8.8,10.2,8.6,Dawson County,24
31045,Deuel County,11,9.4,10.8,8.7,Deuel County,4.4
31047,Dixon County,9,7.7,11.2,9.3,Dixon County,12.6
31049,Dodge County,9.5,8.4,11.1,9,Dodge County,69.4
31051,Douglas County,8.7,8.1,9.1,8.6,Douglas County,1574.4
31053,Dundy County,10.6,9.6,11.6,10.1,Dundy County,2.2
31055,Fillmore County,9.6,8.7,10.7,9.4,Fillmore County,10.2
31057,Franklin County,11,9.2,11.7,9.5,Franklin County,5.6
31059,Frontier County,9.7,7.9,11,8.5,Frontier County,2.8
31061,Furnas County,11.2,10.7,14.2,11.6,Furnas County,6.9
31063,Gage County,11.1,10.3,11.2,10.6,Gage County,26.2
31065,Garden County,11,8.9,11.2,8.7,Garden County,1.2
31067,Garfield County,10.7,9.2,10.5,8.5,Garfield County,3.6
31069,Gosper County,10.9,8.9,10.9,8.8,Gosper County,4.5
31071,Grant County,9.3,7.9,11.1,9.5,Grant County,0.8
31073,Greeley County,10.4,8.2,10.6,8.6,Greeley County,4.5
31075,Hall County,9.6,7.8,9.5,7.8,Hall County,107.3
31077,Hamilton County,8.9,7.8,8.3,6.4,Hamilton County,16.8
