FIPS Codes,County,percent (men)_2010,percent (women)_2010,percent (men)_2013,percent (women)_2013,Geographic area,Density_Population
19005,Audubon County,11.1,10.2,12.4,11.1,Audubon County,13.8
19007,Benton County,9.7,8.3,10.5,9.4,Benton County,36.4
19009,Black Hawk County,9.3,8.7,9.7,9.2,Black Hawk County,231.7
19011,Boone County,9.2,8.7,9.8,8.3,Boone County,46
19013,Bremer County,9.3,8.9,10.1,8.8,Bremer County,55.7
19015,Buchanan County,10.2,9.4,10.1,8.9,Buchanan County,36.7
19017,Buena Vista County,8.7,8,10.2,10,Buena Vista County,35.2
19019,Butler County,8.7,7.7,11,9.2,Butler County,25.6
19021,Calhoun County,11.6,10.1,11.3,10.2,Calhoun County,17
19023,Carroll County,8.6,7.6,9.7,8.1,Carroll County,36.6
19025,Cass County,9.1,8.1,11.3,10.1,Cass County,24.7
19027,Cedar County,10.2,10.1,11.1,10.1,Cedar County,31.9
19029,Cerro Gordo County,10.4,9.9,10.7,10.1,Cerro Gordo County,77.7
19031,Cherokee County,9.6,8.9,11.9,10.7,Cherokee County,20.9
19033,Chickasaw County,9.3,8.4,11.2,9.6,Chickasaw County,24.7
19035,Clarke County,8.7,7.9,10.7,9.7,Clarke County,21.5
19037,Clay County,8.9,8.2,9.8,8.9,Clay County,29.4
19039,Clayton County,8.8,7.9,9.9,8.5,Clayton County,23.3
19041,Clinton County,9.5,8.8,12.5,11.7,Clinton County,70.7
19043,Crawford County,8.6,7.4,12.5,10.9,Crawford County,23.9
19045,Dallas County,7.9,6.9,8.8,8.1,Dallas County,112.4
19047,Davis County,10.5,9.9,11.3,10,Davis County,17.4
19049,Decatur County,8.8,8.2,10.1,9.2,Decatur County,15.9
19051,Delaware County,9.1,7.7,11.2,10,Delaware County,30.7
19053,Des Moines County,11.9,11.7,11.9,10.4,Des Moines County,96.9
19055,Dickinson County,9.3,8.4,10.5,8.8,Dickinson County,43.8
19057,Dubuque County,9.1,8.8,10,9.3,Dubuque County,154
19059,Emmet County,9.4,9.1,11,10.4,Emmet County,26
19061,Fayette County,9.7,8.6,11,9.9,Fayette County,28.6
19063,Floyd County,11,10.3,12.7,11.6,Floyd County,32.6
19065,Franklin County,9.6,9,10.9,9.5,Franklin County,18.4
19067,Fremont County,10.2,9.5,10.3,8.7,Fremont County,14.6
19069,Greene County,9.5,8.6,11,9.9,Greene County,16.4
19071,Grundy County,10.3,9.4,11.7,10.4,Grundy County,24.8
19073,Guthrie County,9.6,8.5,10.3,8.6,Guthrie County,18.5
19075,Hamilton County,9.8,9.2,10.9,9.8,Hamilton County,27.2
19077,Hancock County,9.5,8.5,10.6,9.3,Hancock County,19.9
19079,Hardin County,9.1,8,11,10,Hardin County,30.8
19081,Harrison County,9.8,8.3,12.3,11,Harrison County,21.4
19083,Henry County,9.4,9,11.5,11.5,Henry County,46.4
19085,Howard County,9.3,8.5,10.9,9.8,Howard County,20.2
19087,Humboldt County,10.8,10.2,10.5,8.9,Humboldt County,22.6
19089,Ida County,9.8,9,10.9,9.4,Ida County,16.4
19091,Iowa County,9.3,8.3,9.3,8.2,Iowa County,27.9
19093,Jackson County,9.9,9,12.3,11.1,Jackson County,31.2
19095,Jasper County,10.4,9.9,10,9.5,Jasper County,50.4
19097,Jefferson County,9.3,9.7,10.3,10.9,Jefferson County,38.7
19099,Johnson County,5.8,5,5.8,5,Johnson County,213.1
19101,Jones County,9.1,8.5,10.9,9.5,Jones County,35.9
19103,Keokuk County,8.9,7.8,11.6,10.5,Keokuk County,18.1
19105,Kossuth County,10.8,10,11.7,10.2,Kossuth County,16
19107,Lee County,10.1,9.1,11.9,10.4,Lee County,69.3
19109,Linn County,9.1,8.2,10.7,9.8,Linn County,294.6
19111,Louisa County,9.3,8.4,10.3,9.4,Louisa County,28.3
19113,Lucas County,9.9,8.5,12.2,11,Lucas County,20.7
19115,Lyon County,9,8.2,9.8,8.9,Lyon County,19.7
19117,Madison County,10.7,9.5,10.7,9.4,Madison County,27.9
19119,Mahaska County,9.4,8.8,10.5,9.6,Mahaska County,39.2
19121,Marion County,8.8,7.7,10.4,9.1,Marion County,60.1
19123,Marshall County,9.7,8.6,11.3,10.2,Marshall County,71
19125,Mills County,8.7,7.4,11.7,10.1,Mills County,34.4
19127,Mitchell County,9,8.1,10.5,8.9,Mitchell County,23
19129,Monona County,10.2,9.1,12.6,11.1,Monona County,13.3
19131,Monroe County,9.6,8.9,11.3,10,Monroe County,18.4
19133,Montgomery County,10.5,9.7,11.3,9.8,Montgomery County,25.3
19135,Muscatine County,9,7.9,9.9,8.6,Muscatine County,97.7
19137,O'Brien County,9.8,9.3,10.2,9,O'Brien County,25.1
19139,Osceola County,9.1,8.2,12,11,Osceola County,16.2
19141,Page County,11,10.9,11.8,12.1,Page County,29.8
19143,Palo Alto County,10.3,9.5,11,10.2,Palo Alto County,16.7
19145,Plymouth County,9.6,8.7,10.4,9.2,Plymouth County,29
19147,Pocahontas County,11.8,11.1,12.6,11.2,Pocahontas County,12.7
19149,Polk County,8.1,7.5,8.7,8.5,Polk County,750.5
19151,Pottawattamie County,10.2,9.8,11.9,11.2,Pottawattamie County,98
19153,Poweshiek County,8.5,7.6,11.4,9.7,Poweshiek County,32.3
19155,Ringgold County,10.6,9.6,12.1,10.8,Ringgold County,9.6
19157,Sac County,10.2,9.1,11.1,9.7,Sac County,18
19159,Scott County,8.8,7.5,9.1,8.4,Scott County,360.7
19161,Shelby County,11.1,9.9,11.8,10.3,Shelby County,20.6
19163,Sioux County,7.5,6.9,9.1,8.6,Sioux County,43.9
19165,Story County,5.7,5.6,6.7,6.6,Story County,156.3
19167,Tama County,11.1,10.6,10.7,9.2,Tama County,24.6
19169,Taylor County,10.4,9.3,11.1,9.4,Taylor County,11.9
19171,Union County,11.2,10.2,12.4,11.1,Union County,29.6
19173,Van Buren County,10.8,9.8,10.6,9.1,Van Buren County,15.6
19175,Wapello County,9.4,9.2,12.9,12.8,Wapello County,82.5
19177,Warren County,8.2,7.3,11,9.8,Warren County,81.1
19179,Washington County,9.2,8.6,10.1,8.8,Washington County,38.2
19181,Wayne County,10.2,9.2,12.4,10.8,Wayne County,12.2
19183,Webster County,10.1,9.7,10.2,9.7,Webster County,53.1
19185,Winnebago County,10.2,9.7,10.4,9.1,Winnebago County,27.1
19187,Winneshiek County,8.2,7.5,8.7,7.1,Winneshiek County,30.5
19189,Woodbury County,9.4,9.2,10.6,9.7,Woodbury County,117.1
19191,Worth County,10.2,9.3,12.3,11.5,Worth County,19
19193,Wright County,9.4,8.3,11.5,10,Wright County,22.8
19195,Allen County,12.4,11.5,11,10.9,Allen County,26.7
19197,Anderson County,9.9,8.2,10.4,9.2,Anderson County,14
20001,Atchison County,10.8,9.4,9.2,8.2,Atchison County,39.3
20003,Barber County,12.9,11.4,9.8,8.3,Barber County,4.3
20005,Barton County,12,11.7,9.8,9.2,Barton County,30.9
20007,Bourbon County,10.6,9.1,13,13,Bourbon County,23.9
20009,Brown County,12.4,10.9,11.9,11.4,Brown County,17.5
20011,Butler County,9.7,9.2,10.1,9.7,Butler County,46.1
20013,Chase County,10.9,9.9,12.1,11.7,Chase County,3.6
20015,Chautauqua County,11.7,10,13.2,11.9,Chautauqua County,5.7
20017,Cherokee County,12.5,11.2,12.4,11.9,Cherokee County,36.8
20019,Cheyenne County,11.8,10.1,14.3,13,Cheyenne County,2.7
20021,Clark County,11.5,10.1,12.3,11.3,Clark County,2.3
20023,Clay County,10.6,8.8,14.3,13.9,Clay County,13.2
20025,Cloud County,12.3,11.3,12.6,12.6,Cloud County,13.3
20027,Coffey County,11.7,10.2,10.6,9.3,Coffey County,13.7
20029,Comanche County,11.9,10.2,12.1,10.1,Comanche County,2.4
20031,Cowley County,11.4,10.7,11.1,11.2,Cowley County,32.3
20033,Crawford County,10.5,9.5,11.1,11.8,Crawford County,66.4
20035,Decatur County,14.8,13.1,13,12,Decatur County,3.3
20037,Dickinson County,10.8,9.9,11.6,10.4,Dickinson County,23.3
20039,Doniphan County,10.4,9.4,10.2,9.3,Doniphan County,20.2
20041,Douglas County,6.2,5.4,6.4,6.5,Douglas County,243.1
20043,Edwards County,11.5,9.8,11.3,9.9,Edwards County,4.9
20045,Elk County,14,12.4,13.3,11.7,Elk County,4.5
20047,Ellis County,8,7,9.4,8.4,Ellis County,31.6
20049,Ellsworth County,10.3,10.1,11.1,12.4,Ellsworth County,9.1
20051,Finney County,9.3,8.3,9.6,9.4,Finney County,28.2
20053,Ford County,9.8,9.5,8.9,8.5,Ford County,30.8
20055,Franklin County,11.9,10.3,9.5,8.4,Franklin County,45.5
20057,Geary County,8.3,7.8,7.4,8.5,Geary County,89.3
20059,Gove County,13.6,12.2,12.4,11.3,Gove County,2.5
20061,Graham County,12.5,11.1,11.8,10.4,Graham County,2.9
20063,Grant County,9.9,9,8.1,7.5,Grant County,13.6
20065,Gray County,9.5,8.1,9.8,8.8,Gray County,6.9
20067,Greeley County,11.8,10.3,11.3,10.1,Greeley County,1.6
20069,Greenwood County,11.7,10.5,13.1,12.4,Greenwood County,5.9
20071,Hamilton County,9.2,8.1,9.4,8.4,Hamilton County,2.7
20073,Harper County,12,10.9,11.1,10.8,Harper County,7.5
20075,Harvey County,9.5,8.3,10.7,9.9,Harvey County,64.3
20077,Haskell County,10.2,9.4,10.1,9.5,Haskell County,7.4
20079,Hodgeman County,12,10.1,14.3,13.2,Hodgeman County,2.2
20081,Jackson County,11.8,9.8,10.9,9.9,Jackson County,20.5
20083,Jefferson County,11.5,9.8,10.4,9.6,Jefferson County,35.9
20085,Jewell County,13.7,12,13.7,12.3,Jewell County,3.4
20087,Johnson County,7.6,5.8,8.4,6.5,Johnson County,1149.6
20089,Kearny County,10.3,9.2,10,9.6,Kearny County,4.6
20091,Kingman County,12.4,10.9,13.9,13,Kingman County,9.1
20093,Kiowa County,10.4,8.8,10.8,9.7,Kiowa County,3.5
20095,Labette County,12.3,10.7,11.4,11.1,Labette County,33.5
20097,Lane County,11.3,9.8,12.6,11,Lane County,2.4
20099,Leavenworth County,9.5,9.3,10.4,10.2,Leavenworth County,164.7
20101,Lincoln County,11.5,10,11.2,9.7,Lincoln County,4.5
20103,Linn County,11.4,9.9,12.8,11.2,Linn County,16.3
20105,Logan County,13,11.8,13.7,13.2,Logan County,2.6
20107,Lyon County,9,7.8,10.6,10.3,Lyon County,39.8
20109,McPherson County,10.3,9,9.9,9.1,McPherson County,32.5
20111,Marion County,10.5,8.9,10.1,8.8,Marion County,13.4
20113,Marshall County,11.4,10.3,10.2,8.8,Marshall County,11.2
20115,Meade County,11.5,10.2,10.2,8.9,Meade County,4.7
20117,Miami County,9,8.4,11.3,10.7,Miami County,57
20119,Mitchell County,11.2,10.2,12.8,12,Mitchell County,9.1
20121,Montgomery County,12.6,11.9,14.4,14.2,Montgomery County,55.1
20123,Morris County,11.9,10.5,12.7,11.8,Morris County,8.5
20125,Morton County,10.9,9.5,11.5,10.7,Morton County,4.4
20127,Nemaha County,11.8,11.2,9.4,8.4,Nemaha County,14.2
20129,Neosho County,12.6,11.2,12.6,11.9,Neosho County,28.9
20131,Ness County,12.4,11.2,11.4,10.2,Ness County,2.9
20133,Norton County,9.6,9.3,10.6,10.9,Norton County,6.5
20135,Osage County,12.6,11.2,12.3,10.8,Osage County,23.1
20137,Osborne County,13.2,11.6,12.6,11.6,Osborne County,4.3
20139,Ottawa County,10.8,9.6,12.7,11.5,Ottawa County,8.5
20141,Pawnee County,11,9.8,12.6,13,Pawnee County,9.2
20143,Phillips County,11.6,10.1,11.9,10.5,Phillips County,6.4
20145,Pottawatomie County,10.8,9.8,10.9,10.2,Pottawatomie County,25.7
20147,Pratt County,10.2,9.2,11.9,11.5,Pratt County,13.1
20149,Rawlins County,12.7,11,12.9,11.6,Rawlins County,2.4
20151,Reno County,12.1,11.2,11.7,12.1,Reno County,51.4
20153,Republic County,12,10.5,11.6,10.1,Republic County,6.9
20155,Rice County,11.7,10.8,11.2,11.4,Rice County,13.9
20157,Riley County,6.3,6.6,5.4,5.8,Riley County,116.6
20159,Rooks County,12.3,10.9,11.1,10,Rooks County,5.8
20161,Rush County,11.3,9.3,12,10.4,Rush County,4.6
20163,Russell County,12.8,11.7,12,11.3,Russell County,7.9
20165,Saline County,10.7,9.7,11.3,11.4,Saline County,77.2
20167,Scott County,9.5,8.3,10.2,9.3,Scott County,6.9
20169,Sedgwick County,10.1,9.7,10.8,10.7,Sedgwick County,499.6
20171,Seward County,8,7.7,8.3,8.3,Seward County,35.9
20173,Shawnee County,11.3,10,10.7,10.7,Shawnee County,327.1
20175,Sheridan County,11.2,9.7,12.4,11.1,Sheridan County,2.9
20177,Sherman County,12.1,11.7,9.8,9,Sherman County,5.7
20179,Smith County,12.1,10.2,11.6,9.7,Smith County,4.3
20181,Stafford County,12.2,10.8,12.3,11.5,Stafford County,5.6
20183,Stanton County,10.3,9.1,11.4,10.8,Stanton County,3.3
20185,Stevens County,10.6,10,10.3,9.6,Stevens County,7.9
20187,Sumner County,12.9,12,11.7,10.6,Sumner County,20.4
20189,Thomas County,9.6,8.3,9,8.4,Thomas County,7.4
20191,Trego County,11.1,9.5,12,10.2,Trego County,3.4
20193,Wabaunsee County,10.9,9.2,10.4,9.1,Wabaunsee County,8.9
20195,Wallace County,12,10.6,12.5,10.9,Wallace County,1.6
20197,Washington County,11.3,10.1,13.1,12.3,Washington County,6.5
20199,Wichita County,11.6,10.3,11.3,10.3,Wichita County,3.1
20201,Wilson County,12.7,11,14,13.3,Wilson County,16.5
20203,Woodson County,13,11.1,12.1,11.2,Woodson County,6.6
20205,Wyandotte County,12.8,13.4,11.6,12.3,Wyandotte County,1039
20207,Adair County,12.5,12.5,14.6,15.6,Adair County,46
20209,Allen County,11.2,10.6,13.5,13.9,Allen County,58
21001,Anderson County,12.9,12.5,12.2,12.1,Anderson County,106.1
21003,Ballard County,13.8,13.5,13.6,12.9,Ballard County,33.4
21005,Barren County,13.3,13.6,13.3,13.4,Barren County,86.5
21007,Bath County,13.5,13.1,14.4,13.8,Bath County,41.6
21009,Bell County,14.8,14.5,14.4,14.8,Bell County,79.9
21011,Boone County,10.6,10,11.7,12,Boone County,482.3
21013,Bourbon County,13.5,13.9,14,13.7,Bourbon County,69
21015,Boyd County,15,14.7,15.1,16.3,Boyd County,309.9
21017,Boyle County,12.4,12.5,11.1,11.2,Boyle County,157.8
21019,Bracken County,12.6,12.5,14.3,14.8,Bracken County,41.3
21021,Breathitt County,14.5,15,15.4,16.1,Breathitt County,28.2
21023,Breckinridge County,14,13.2,14.9,14.7,Breckinridge County,35.4
21025,Bullitt County,12.7,12.1,12.8,13.5,Bullitt County,250.2
21027,Butler County,13.2,13.4,14.2,14.1,Butler County,29.8
21029,Caldwell County,12.5,12.2,13,12.3,Caldwell County,37.7
21031,Calloway County,11.2,10.4,10.6,10,Calloway County,96.6
21033,Campbell County,10.6,9.7,10.8,10.9,Campbell County,597
21035,Carlisle County,12.9,12.5,13.4,12.8,Carlisle County,26.9
21037,Carroll County,13,12.8,12.4,12.5,Carroll County,84.1
21039,Carter County,12.4,12.4,14,14.6,Carter County,67.7
21041,Casey County,12.9,12.4,14.5,14.2,Casey County,35.9
21043,Christian County,10.7,10.6,10,11.7,Christian County,103.1
21045,Clark County,11.8,11.3,12.6,12.2,Clark County,141.1
21047,Clay County,13.1,14,13.3,15,Clay County,46.3
21049,Clinton County,11.8,11.1,13.1,12.4,Clinton County,52.1
21051,Crittenden County,13.1,12.5,14.3,13.4,Crittenden County,25.9
21053,Cumberland County,13.9,12.8,14,13.2,Cumberland County,22.5
21055,Daviess County,11.9,11,11.8,10.9,Daviess County,210.9
21057,Edmonson County,14,13.9,16.2,16,Edmonson County,40.2
21059,Elliott County,11.1,11.6,12.7,13.9,Elliott County,33.5
21061,Estill County,13.4,13.3,14.4,14.7,Estill County,58
21063,Fayette County,9.8,9.2,9.3,8.8,Fayette County,1042.8
21065,Fleming County,13.6,12.8,13.9,13.1,Fleming County,41.2
21067,Floyd County,16.5,17.7,13.4,13.4,Floyd County,100.3
21069,Franklin County,11.6,10.9,13.2,13.5,Franklin County,237.2
21071,Fulton County,12.7,13,14.1,15.2,Fulton County,33.2
21073,Gallatin County,12,11.6,12.7,12.5,Gallatin County,84.8
21075,Garrard County,12.9,12.3,13,12.6,Garrard County,73.5
21077,Grant County,11.4,10.6,12.9,12.5,Grant County,95.6
21079,Graves County,12.3,11.1,11,10.5,Graves County,67.3
21081,Grayson County,12.9,12,14.7,14.7,Grayson County,51.8
21083,Green County,13.6,13,13.6,13.1,Green County,39.4
21085,Greenup County,15.5,15.3,14.8,14.1,Greenup County,107.2
21087,Hancock County,12,10.8,13.8,13.9,Hancock County,45.6
21089,Hardin County,11,11.3,11.2,11.9,Hardin County,169.3
21091,Harlan County,14.4,15.7,16.3,17.5,Harlan County,62.9
21093,Harrison County,13.3,13.1,13.2,13,Harrison County,61.5
21095,Hart County,13.5,12.5,13.1,13.2,Hart County,44.2
21097,Henderson County,11.3,10.6,13.6,14.4,Henderson County,105.9
21099,Henry County,13.1,12.8,11.7,11.2,Henry County,53.9
21101,Hickman County,14.2,13.7,14.3,13.9,Hickman County,20.2
21103,Hopkins County,12.3,12,13.8,12.9,Hopkins County,86.6
21105,Jackson County,11.9,11.4,13.7,13.8,Jackson County,39.1
21107,Jefferson County,12.1,12.5,12.3,11.6,Jefferson County,1948.1
21109,Jessamine County,11.7,11,9.6,9.1,Jessamine County,282.3
21111,Johnson County,15.9,16.4,15.1,15.6,Johnson County,89.2
21113,Kenton County,10.8,10.2,11.2,10.5,Kenton County,996.7
21115,Knott County,14.8,15.2,15.5,16.6,Knott County,46.5
21117,Knox County,14.1,14.2,15.5,16.8,Knox County,82.5
21119,Larue County,13.2,13.1,13.4,13.9,Larue County,54.3
21121,Laurel County,11.6,11.7,13.8,14.6,Laurel County,135.6
21123,Lawrence County,14.8,14.3,17.3,18.1,Lawrence County,38.2
21125,Lee County,11.8,12.6,14.7,17.8,Lee County,37.8
21127,Leslie County,14.5,15.2,16.2,15.9,Leslie County,28.2
21129,Letcher County,16.4,18,16.6,18.4,Letcher County,72.6
21131,Lewis County,14.5,13.3,14.9,14.4,Lewis County,28.7
21133,Lincoln County,12.5,12.4,12.3,12.2,Lincoln County,74.1
21135,Livingston County,14.3,13.6,12.8,11.8,Livingston County,30.4
21137,Logan County,11.4,11.1,12.1,11.6,Logan County,48.6
21139,Lyon County,12.7,13.1,13.9,14.9,Lyon County,38.9
21141,McCracken County,10.8,9.9,11.7,11.2,McCracken County,263.6
21143,McCreary County,12.8,13.5,14.7,16.6,McCreary County,42.9
21145,McLean County,12.9,12.4,17.3,17.8,McLean County,37.8
21147,Madison County,10.7,10.5,10.3,10.6,Madison County,189.6
21149,Magoffin County,12.7,12.5,13.5,13.4,Magoffin County,43.2
21151,Marion County,10.8,11.4,10.8,11.4,Marion County,57.8
21153,Marshall County,11,9.8,11.8,10.4,Marshall County,104.4
21155,Martin County,12,12.6,12.8,15.2,Martin County,56.3
21157,Mason County,14.1,14.1,13.7,12.3,Mason County,72.8
21159,Meade County,11.1,10.6,11.9,11.4,Meade County,93.6
21161,Menifee County,14.9,14.9,12.5,12.2,Menifee County,31
21163,Mercer County,11.9,11.2,12.5,12,Mercer County,85.7
21165,Metcalfe County,13.2,12.9,15.7,15.8,Metcalfe County,34.9
21167,Monroe County,12.8,12.1,13.6,13.2,Monroe County,33.3
21169,Montgomery County,11.4,10.2,13.1,13.5,Montgomery County,134.3
21171,Morgan County,13.1,14.7,13.6,16.2,Morgan County,36.5
21173,Muhlenberg County,12.2,12.1,12.2,12.7,Muhlenberg County,67.4
21175,Nelson County,10.2,9.6,11.6,11,Nelson County,104
21177,Nicholas County,13.7,13.4,12.9,12.2,Nicholas County,36.6
21179,Ohio County,13.6,14.1,15.6,16.4,Ohio County,40.6
21181,Oldham County,10.9,10.4,10.6,10,Oldham County,322.2
21183,Owen County,13,12.4,11.9,10.8,Owen County,30.9
21185,Owsley County,13.9,13.5,13.3,13,Owsley County,24.1
21187,Pendleton County,11.1,10.3,15,15,Pendleton County,53.7
21189,Perry County,16,15.6,14.6,14.3,Perry County,84.5
21191,Pike County,15.1,14.4,16,16.3,Pike County,82.6
21193,Powell County,13.3,13.5,13.5,13.4,Powell County,70.5
21195,Pulaski County,12.6,12.2,13.4,13.5,Pulaski County,95.8
21197,Robertson County,14.8,13.7,14.4,12.9,Robertson County,22.8
21199,Rockcastle County,13,12.4,13.3,13.1,Rockcastle County,53.9
21201,Rowan County,10.5,10.8,10.8,11.4,Rowan County,83.4
21203,Russell County,13.2,12.8,12.5,11.8,Russell County,69.2
21205,Scott County,10.2,10.1,10.7,10.5,Scott County,167.4
21207,Shelby County,11.9,11,12.1,11.1,Shelby County,110.8
21209,Simpson County,13.1,13.2,11.7,11.4,Simpson County,74
21211,Spencer County,11.3,10.5,12.5,12.1,Spencer County,91.4
21213,Taylor County,13.2,13.1,13.7,14.3,Taylor County,92
21215,Todd County,11.6,11.3,12.5,11.9,Todd County,33.3
21217,Trigg County,12.6,10.8,14.3,13.2,Trigg County,32.5
21219,Trimble County,12,11.5,13.1,12.6,Trimble County,58.1
21221,Union County,12,12.3,11.3,11.8,Union County,43.8
21223,Warren County,9.7,8.8,9.3,9.1,Warren County,210.1
21225,Washington County,13.5,13.5,13.5,12.9,Washington County,39.4
21227,Wayne County,13.2,12.3,14.2,14.2,Wayne County,45.4
21229,Webster County,13.2,13.2,13.7,14.1,Webster County,41
21231,Whitley County,14.8,14.1,13.4,13.6,Whitley County,81.4
21233,Wolfe County,12.2,11.2,13.2,12.1,Wolfe County,33.1
21235,Woodford County,11.1,10.2,12.7,12.1,Woodford County,132.1
21237,Acadia Parish,10.7,9.1,13,12.8,Acadia Parish,94.3
21239,Allen Parish,12.7,12.9,10.8,11.8,Allen Parish,33.8
22001,Ascension Parish,10.7,10.1,11,10.9,Ascension Parish,369.7
22003,Assumption Parish,12.5,11.2,14.4,14.4,Assumption Parish,69.2
22005,Avoyelles Parish,14.3,13.4,13.6,14.7,Avoyelles Parish,50.5
22007,Beauregard Parish,12.9,12.3,12.3,12.8,Beauregard Parish,30.8
22009,Bienville Parish,14.8,13.8,13.4,14.6,Bienville Parish,17.7
22011,Bossier Parish,11.7,10.4,11.9,12.1,Bossier Parish,139.3
22013,Caddo Parish,13.3,12.4,11.7,12.3,Caddo Parish,290.2
22015,Calcasieu Parish,13.5,11.5,11.6,11.7,Calcasieu Parish,181.2
22017,Caldwell Parish,13.6,12.8,11.9,12.3,Caldwell Parish,19.1
22019,Cameron Parish,12.9,10.6,12.5,10.9,Cameron Parish,5.3
22021,Catahoula Parish,12.3,11.9,10.7,11.4,Catahoula Parish,14.7
22023,Claiborne Parish,14.6,15.8,10.8,13.6,Claiborne Parish,22.8
22025,Concordia Parish,12.5,12.6,13.5,15.6,Concordia Parish,29.9
22027,De Soto Parish,13.6,13.2,13.5,14.5,De Soto Parish,30.4
22029,East Baton Rouge Parish,11.8,11.7,10.7,12.4,East Baton Rouge Parish,966.6
22031,East Carroll Parish,14.2,17,13.7,19.6,East Carroll Parish,18.4
22033,East Feliciana Parish,13.6,13.3,16.3,18.3,East Feliciana Parish,44.7
22035,Evangeline Parish,12.8,11.9,11.9,12.7,Evangeline Parish,51.3
22037,Franklin Parish,14.6,14,13.2,13.8,Franklin Parish,33.2
22039,Grant Parish,12.6,13.1,11.4,12.7,Grant Parish,34.7
22041,Iberia Parish,13.1,11.8,12.7,13.1,Iberia Parish,127.6
22043,Iberville Parish,13.5,13,12.1,13.3,Iberville Parish,54
22045,Jackson Parish,11.4,10.8,13,14.2,Jackson Parish,28.6
22047,Jefferson Parish,12.1,11.2,11.8,11.4,Jefferson Parish,1463.1
22049,Jefferson Davis Parish,14.6,12.9,13.6,12.8,Jefferson Davis Parish,48.5
22051,Lafayette Parish,7.9,7.3,10.1,10,Lafayette Parish,824.6
22053,Lafourche Parish,12.1,11.1,11.1,10.7,Lafourche Parish,90.2
22055,La Salle Parish,12,11.4,12.3,12.8,La Salle Parish,23.8
22057,Lincoln Parish,10,9.4,9.8,10.6,Lincoln Parish,99.1
22059,Livingston Parish,11.1,9.7,12.4,12.5,Livingston Parish,197.5
22061,Madison Parish,12.7,12.8,10.4,11.8,Madison Parish,19.4
22063,Morehouse Parish,15,14.9,14.7,17.2,Morehouse Parish,35.2
22065,Natchitoches Parish,12.8,11.8,12.5,13.3,Natchitoches Parish,31.6
22067,Orleans Parish,11.7,11.3,11.6,12.2,Orleans Parish,2029.4
22069,Ouachita Parish,12.5,11.5,11.4,12.2,Ouachita Parish,251.8
22071,Plaquemines Parish,12.1,10.5,10.8,10.3,Plaquemines Parish,29.5
22073,Pointe Coupee Parish,15,14.2,11.6,11.5,Pointe Coupee Parish,40.9
22075,Rapides Parish,14.3,13.6,13.2,13.2,Rapides Parish,99.9
22077,Red River Parish,13.5,13.2,12.6,13.3,Red River Parish,23.4
22079,Richland Parish,12.1,11.5,13.3,14.3,Richland Parish,37.1
22081,Sabine Parish,15,13.1,14.9,14.8,Sabine Parish,28
22083,St. Bernard Parish,12,10.9,13.7,14,St. Bernard Parish,95.1
22085,St. Charles Parish,11.4,10,11.4,11.3,St. Charles Parish,189.1
22087,St. Helena Parish,14.8,14.7,14.9,16.7,St. Helena Parish,27.4
22089,St. James Parish,13.6,13.2,13.8,15.3,St. James Parish,91.5
22091,St. John the Baptist Pa,13,12.1,13.7,15.2,St. John the Baptist Parish,215.5
22093,St. Landry Parish,15.3,14.6,13.2,14.5,St. Landry Parish,90.3
22095,St. Martin Parish,12.9,12.7,10.7,10.6,St. Martin Parish,70.7
22097,St. Mary Parish,13.1,12.2,14,16,St. Mary Parish,98.4
22099,St. Tammany Parish,11.6,9.4,10.3,8.9,St. Tammany Parish,276.4
22101,Tangipahoa Parish,12,11.4,11.8,12.1,Tangipahoa Parish,153
22103,Tensas Parish,14.4,14.3,15,17.3,Tensas Parish,8.7
22105,Terrebonne Parish,13.8,13.3,11.9,11.5,Terrebonne Parish,90.8
22107,Union Parish,14.6,13.6,15.3,15.8,Union Parish,25.9
22109,Vermilion Parish,13.2,11.7,11.3,10.6,Vermilion Parish,49.4
22111,Vernon Parish,11.5,11.1,11.7,13.1,Vernon Parish,39.4
22113,Washington Parish,17,16.6,14.7,15.3,Washington Parish,70.4
22115,Webster Parish,13.7,12.8,12.7,13.2,Webster Parish,69.5
22117,West Baton Rouge Parish,13.1,12.9,13.4,15,West Baton Rouge Parish,123.6
22119,West Carroll Parish,16.4,15.6,15.3,15.7,West Carroll Parish,32.3
22121,West Feliciana Parish,13.2,12.7,11.9,12.8,West Feliciana Parish,38.8
22123,Winn Parish,12.2,12.2,12.2,13,Winn Parish,16.1
22125,Androscoggin County,10.9,9.3,11.6,10.9,Androscoggin County,230.2
22127,Aroostook County,14.9,13.3,14,12.7,Aroostook County,10.8
23001,Cumberland County,8,6.8,8.8,7,Cumberland County,337.2
23003,Franklin County,9.9,8.2,10.3,8.6,Franklin County,18.1
23005,Hancock County,9.6,8.3,9.3,7.8,Hancock County,34.3
23007,Kennebec County,10.4,8.8,11.1,10.6,Kennebec County,140.8
23009,Knox County,10.6,8.8,7.9,7,Knox County,108.8
23011,Lincoln County,9.9,8.3,10.1,8.1,Lincoln County,75.6
23013,Oxford County,11.3,9.8,11.7,10.1,Oxford County,27.8
23015,Penobscot County,11.2,10,10.6,10.5,Penobscot County,45.3
23017,Piscataquis County,12.2,11.9,13.2,11.5,Piscataquis County,4.4
23019,Sagadahoc County,10,8.1,10,8.9,Sagadahoc County,139.1
23021,Somerset County,12.3,10.5,12.6,10.5,Somerset County,13.3
